match,bowlingTeam,bowlerName,bowlerNameUrl,overs,maidens,runs,wickets,economy,0s,4s,6s,wd,nb
England Vs New Zealand,New Zealand,Sam Curran,https://www.espncricinfo.com/cricketers/sam-curran-662973,4,0,26,2,6.50,9,0,0,2,0
England Vs New Zealand,New Zealand,Mark Wood,https://www.espncricinfo.com/cricketers/mark-wood-351588,3,0,25,1,8.33,8,2,1,1,0
England Vs New Zealand,New Zealand,Liam Livingstone,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,3,0,26,0,8.66,4,3,0,0,0
England Vs New Zealand,New Zealand,Ben Stokes,https://www.espncricinfo.com/cricketers/ben-stokes-311158,1,0,10,1,10.00,2,2,0,0,0
Afghanistan Vs Sri Lanka,Afghanistan,Kasun Rajitha,https://www.espncricinfo.com/cricketers/kasun-rajitha-499594,4,0,31,1,7.75,11,2,1,1,1
Afghanistan Vs Sri Lanka,Afghanistan,Pramod Madushan,https://www.espncricinfo.com/cricketers/pramod-madushan-826689,3,0,24,0,8.00,7,2,1,0,0
Afghanistan Vs Sri Lanka,Afghanistan,Lahiru Kumara,https://www.espncricinfo.com/cricketers/lahiru-kumara-784375,4,0,30,2,7.50,12,2,1,4,0
Afghanistan Vs Sri Lanka,Afghanistan,Maheesh Theekshana,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,4,0,33,0,8.25,5,1,1,1,0
Afghanistan Vs Sri Lanka,Afghanistan,Wanindu Hasaranga,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,4,0,13,3,3.25,12,0,0,0,0
Afghanistan Vs Sri Lanka,Afghanistan,Dhananjaya de Silva,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,1,0,9,1,9.00,1,1,0,0,0
Afghanistan Vs Sri Lanka,Sri Lanka,Fazalhaq Farooqi,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,3.3,1,22,0,6.28,11,3,0,1,0
